book,page,seq,hangul,pos,meaning_cn,example_ko,example_zh,status,note
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),153,130,오이,,黄瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),153,131,옥수수,,玉米,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),153,132,햄버거,,汉堡,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),154,133,주스,,果汁,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),155,134,팝콘,,爆米花,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),156,135,감자튀김,,炸薯条,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),157,136,피자,,比萨,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),158,137,아이스크림,,冰激凌,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),159,138,핫도그,,热狗,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,139,호박,,南瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,140,수세미외,,丝瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,141,여주,,苦瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,142,동과,,冬瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,143,배추,,白菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,144,시금치,,菠菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,145,양파,,洋葱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,146,고추,,辣椒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,147,피망,,青椒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,148,가지,,茄子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),160,149,무,,萝卜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,150,옥수수,,玉米,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,151,버섯,,蘑菇,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,152,바나나,,香蕉,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,153,사과,,苹果,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,154,귤,,橘子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,155,망고,,芒果,,,,原书笔误 망과
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,156,파인애플,,菠萝,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,157,딸기,,草莓,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,158,포도,,葡萄,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,159,오렌지,,橙子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,160,여지,,荔枝,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,161,앵두,,樱桃,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,162,양매,,杨梅,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,163,유자,,柚子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,164,레몬,,柠檬,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,165,수박,,西瓜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,166,석류,,石榴,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),161,167,감,,柿子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,168,뜨거운물,,热水,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,169,아이스워터,,冰水,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,170,온수,,温水,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,171,냉수,,凉水,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,172,요구르트,,酸奶,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,173,밀크세이크,,奶昔,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,174,콜라,,可乐,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,175,사이다,,汽水,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,176,밀크티,,奶茶,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),167,177,맥주,,啤酒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),168,178,빵,,面包,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),168,179,김치,,泡菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),168,180,냉면,,冷面,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),179,181,일어나다,,醒来,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),179,182,깨우다,,叫醒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),179,183,세수,,洗漱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),179,184,낮잠,,午睡,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),179,185,일어나다,,起床,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),180,186,잠을자다,,睡觉,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),181,187,자명종시계,,闹钟,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),182,188,지각,,迟到,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),184,189,양치질,,刷牙,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),191,190,에어컨,,空调,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),192,191,세탁기,,洗衣机,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),193,192,선풍기,,电扇,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),194,193,청소기,,吸尘器,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),195,194,냉장고,,电冰箱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),196,195,헤어드라이어,,电吹风,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),197,196,에어컨,,空调,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),198,197,텔레비전,,电视机,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),199,198,카메라,,照相机,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),200,199,면도기,,剃须刀,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),200,200,전자로,,电磁炉,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),200,201,라디오,,收音机,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),207,202,예금,,存款,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),207,203,계좌,,账户,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),207,204,재산,,财产,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),207,205,이자,,利息,,,,
